順位,チーム,試合,勝利,敗北,引分,勝率,差,ホーム,ロード,対神,対デ,対巨,対中,対広,対ヤ,交流戦
1,阪神タイガース,143,85,54,4,0.612,--,"41-29
(1)","44-25
(3)",***,"14-8
(3)",17-8,12-13,19-6,"15-9
(1)",8-10
2,横浜DeNAベイスターズ,143,71,66,6,0.518,13,"36-32
(3)","35-34
(3)","8-14
(3)",***,"9-15
(1)",17-8,"14-10
(1)","16-8
(1)",7-11
3,読売ジャイアンツ,143,70,69,4,0.504,15,"44-26
(1)","26-43
(3)",8-17,"15-9
(1)",***,14-11,"11-13
(1)","16-8
(1)","6-11
(1)"
4,中日ドラゴンズ,143,63,78,2,0.447,23,"35-36
(1)","28-42
(1)",13-12,8-17,11-14,***,"11-13
(1)","12-12
(1)",8-10
5,広島東洋カープ,143,59,79,5,0.428,25.5,"37-32
(3)","22-47
(2)",6-19,"10-14
(1)","13-11
(1)","13-11
(1)",***,"8-15
(2)",9-9
6,東京ヤクルトスワローズ,143,57,79,7,0.419,26.5,"32-35
(5)","25-44
(2)","9-15
(1)","8-16
(1)","8-16
(1)","12-12
(1)","15-8
(2)",***,"5-12
(1)"
